               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11776,            0.071691,            0.080248,          0.00012963,            0.010526,          8.3322e-05,          1.6664e-05,             0.11654,            0.042454,            0.080103,              0.0991,              0.0001,              0.0001
                   1,             0.11684,             0.06582,            0.080129,          0.00013565,            0.010526,          8.4859e-05,          2.5458e-05,             0.11473,            0.044377,            0.080007,            0.097299,          0.00029901,          0.00029901
                   2,             0.11493,            0.066807,            0.080188,                   0,                   0,                   0,                   0,             0.11209,            0.047336,            0.079823,            0.095497,           0.0004967,           0.0004967
                   3,             0.11243,            0.069841,            0.079851,                   0,                   0,                   0,                   0,             0.10896,            0.051107,            0.079575,            0.093693,          0.00069307,          0.00069307
                   4,             0.10985,            0.076903,            0.079695,                   0,                   0,                   0,                   0,             0.10597,            0.054697,            0.079279,            0.091888,          0.00088812,          0.00088812
                   5,               0.107,            0.078305,            0.079273,                   0,                   0,                   0,                   0,             0.10328,            0.057708,            0.078954,            0.090082,           0.0010819,           0.0010819
                   6,             0.10424,            0.086318,            0.078775,                   0,                   0,                   0,                   0,              0.1014,            0.059647,            0.078615,            0.088274,           0.0012743,           0.0012743
                   7,             0.10366,             0.08558,            0.078316,                   0,                   0,                   0,                   0,             0.10072,            0.060502,            0.078265,            0.086465,           0.0014653,           0.0014653
                   8,             0.10222,            0.086762,             0.07793,                   0,                   0,                   0,                   0,             0.10046,             0.06079,            0.077911,            0.084655,           0.0016551,           0.0016551
                   9,              0.1028,            0.079433,             0.07776,                   0,                   0,                   0,                   0,             0.10011,            0.060728,            0.077536,            0.082844,           0.0018436,           0.0018436
                  10,             0.10292,            0.077935,            0.077071,                   0,                   0,                   0,                   0,            0.099465,            0.060866,            0.077149,            0.081031,           0.0020307,           0.0020307
                  11,             0.10256,            0.086984,            0.076797,                   0,                   0,                   0,                   0,            0.098908,            0.060824,            0.076743,            0.079217,           0.0022165,           0.0022165
                  12,             0.10202,            0.089944,            0.076192,                   0,                   0,                   0,                   0,            0.098832,            0.060272,            0.076312,            0.077401,            0.002401,            0.002401
                  13,             0.10286,            0.078625,            0.075491,           0.0010633,           0.0092996,          0.00063086,          0.00014818,            0.099199,            0.059114,            0.075851,            0.075584,           0.0025842,           0.0025842
                  14,             0.10085,            0.078434,            0.075255,          0.00076164,            0.017082,           0.0010185,          0.00020271,             0.09908,            0.058545,            0.075379,            0.073766,            0.002766,            0.002766
                  15,             0.10028,            0.094252,             0.07481,          0.00078553,            0.027899,           0.0019067,          0.00044301,            0.098699,            0.058085,            0.074892,            0.071947,           0.0029465,           0.0029465
                  16,             0.10041,            0.081281,            0.073743,           0.0013529,            0.027569,           0.0028005,          0.00041618,            0.098363,            0.057349,            0.074368,            0.070126,           0.0031258,           0.0031258
                  17,             0.09908,            0.089444,            0.073863,            0.001026,            0.026646,           0.0021499,          0.00028925,            0.098081,            0.056282,             0.07383,            0.068304,           0.0033037,           0.0033037
                  18,             0.09806,            0.078849,            0.073676,           0.0014935,             0.04596,           0.0026256,           0.0003743,            0.097706,            0.055103,             0.07329,             0.06648,           0.0034802,           0.0034802
                  19,            0.099465,            0.074617,            0.071699,           0.0014942,            0.041541,           0.0016267,          0.00028802,            0.097986,            0.053642,            0.072813,            0.064655,           0.0036555,           0.0036555
                  20,            0.097618,             0.07176,            0.071295,           0.0022352,            0.012238,           0.0012534,          0.00030192,            0.098905,            0.053085,            0.072584,            0.062829,           0.0038294,           0.0038294
                  21,            0.099179,            0.077839,            0.071234,           0.0031056,            0.016692,           0.0017434,          0.00040089,            0.099735,             0.05397,            0.072584,            0.061002,            0.004002,            0.004002
                  22,             0.09714,            0.070933,            0.069787,           0.0040478,           0.0083762,           0.0027339,          0.00053409,            0.097007,            0.057893,            0.072644,            0.059173,           0.0041733,           0.0041733
                  23,             0.09757,            0.071305,            0.069134,           0.0028607,           0.0052763,           0.0015369,          0.00039461,            0.098439,              0.0595,             0.07215,            0.057343,           0.0043433,           0.0043433
                  24,            0.095988,            0.066329,            0.068679,             0.21967,           0.0052763,           0.0068382,           0.0023578,            0.095886,            0.059921,            0.071424,            0.055512,           0.0045119,           0.0045119
                  25,            0.098225,            0.071765,             0.06818,           0.0037623,           0.0052928,           0.0029854,          0.00084253,             0.10024,            0.054418,            0.070262,            0.053679,           0.0046793,           0.0046793
                  26,            0.097051,            0.062131,            0.067324,           0.0073373,             0.01978,            0.013227,           0.0032878,            0.090624,             0.05678,            0.070042,            0.051845,           0.0048453,           0.0048453
                  27,            0.094729,            0.067744,            0.067364,             0.27856,           0.0096458,           0.0095717,           0.0034636,            0.094874,            0.061345,            0.070323,             0.05001,             0.00501,             0.00501
                  28,            0.093769,            0.063884,            0.066625,             0.22913,            0.011116,           0.0078549,           0.0033258,            0.092295,            0.058657,            0.069878,            0.048173,           0.0051733,           0.0051733
                  29,            0.090664,            0.053135,            0.065581,             0.01354,            0.021956,            0.011371,           0.0036014,            0.087751,            0.052621,            0.069193,            0.046335,           0.0053354,           0.0053354
                  30,            0.094994,            0.057982,            0.065564,             0.01606,            0.015746,            0.013677,           0.0087622,            0.092298,             0.05068,            0.069054,            0.044496,           0.0054961,           0.0054961
                  31,            0.091641,            0.064139,            0.063998,             0.23862,            0.021956,            0.013925,            0.004162,              0.0921,            0.053264,            0.069007,            0.042656,           0.0056555,           0.0056555
                  32,            0.092395,            0.062528,            0.066061,             0.23707,            0.013155,           0.0090597,           0.0033072,             0.09323,            0.052004,            0.068634,            0.040814,           0.0058136,           0.0058136
                  33,            0.088152,            0.062153,            0.064326,             0.33709,             0.01851,            0.012818,           0.0049487,            0.087086,            0.053755,            0.068468,             0.03897,           0.0059704,           0.0059704
                  34,            0.089171,            0.059244,            0.064187,             0.11496,            0.011407,            0.011821,            0.003803,            0.089176,            0.054299,             0.06851,            0.037126,           0.0061258,           0.0061258
                  35,            0.085475,            0.065661,            0.064332,             0.35346,            0.014846,           0.0092406,            0.003799,            0.091417,            0.052364,            0.068257,             0.03528,             0.00628,             0.00628
